업체명,현역배정인원,현역편입인원,현역복무인원,보충역편입인원,보충역복무인원
주식회사클래스101,0,0,5,0,0
주식회사뷰쓰리,0,0,0,0,0
주식회사에버스핀,0,0,1,0,0
주식회사얼리브,0,0,0,0,0
주식회사버키,0,0,0,0,0
주식회사테라핀테크,0,0,0,0,1
주식회사셰어킴,0,0,0,0,0
주식회사디에스앤텍,0,0,2,0,0
주식회사세포아소프트,0,0,0,0,0
주식회사이엠비,0,0,0,0,0
주식회사앤서,0,0,0,0,2
주식회사콜론디,0,0,0,0,0
주식회사콘샐러드,0,0,0,0,0
주식회사리턴제로,0,0,0,0,0
주식회사글로벌소프트,0,0,0,0,0
주식회사그로브소프트,0,0,0,0,0
주식회사선도소프트,0,0,0,0,0
주식회사아트만파트너스,0,0,0,0,0
주식회사코드박스,0,0,0,0,0
주식회사누아,0,0,0,0,0
주식회사케이브레인컴퍼니,0,0,0,0,0
주식회사스타일닷컴,0,0,3,0,0
주식회사스마일벤처스,0,0,0,0,0
주식회사스냅컴퍼니,0,0,0,0,0
주식회사브랜디,0,0,0,0,1
주식회사수아랩,0,0,0,0,0
주식회사아신아이,0,0,0,0,0
주식회사씽크트리,0,0,0,0,0
주식회사나인코퍼레이션,0,0,0,0,0
주식회사기원테크,0,0,0,0,0
주식회사지오스토리,0,0,2,0,0
주식회사어니스트펀드,0,0,1,0,2
주식회사플레이팅,0,0,1,0,0
주식회사플랫팜,0,0,0,0,0
주식회사프리버,0,0,0,0,0
주식회사비트리,0,0,0,0,0
주식회사스마트동스쿨,0,0,1,0,0
주식회사펜브코퍼레이션,0,0,0,0,0
주식회사에스브이,0,0,0,0,0
주식회사해줌,0,0,0,0,0
주식회사해시드,0,0,0,0,0
주식회사하이메디,0,0,0,0,0
주식회사하비인더박스,0,0,0,0,0
주식회사하몬소프트,1,1,1,0,0
주식회사힐링페이퍼,3,1,2,0,1
주식회사화이트블록,0,1,1,0,0
주식회사호두랩스,0,0,0,0,0
주식회사진승정보기술,0,0,0,0,0
주식회사지케스,0,0,1,0,1
진진시스템(주),0,0,0,0,1
코리아엑스퍼트(주),1,1,1,0,0
콰라소프트,1,1,1,0,0
코어시큐리티,0,0,0,0,0
퍼니피그(주),0,0,0,0,0
파킹클라우드 주식회사,0,0,2,0,0
트러스체인(주),0,0,0,0,0
트래볼루션,0,0,0,0,0
펀플웍스,0,0,0,0,0
페이민트주식회사,0,0,0,0,0
페이레터(주),1,1,1,0,0
피노텍,1,0,1,0,0
플러스티브이,0,0,0,0,2
한국비즈넷(주),1,0,0,0,1
하트미디어(주),0,0,0,0,0
핑거포스트,0,0,0,0,0
한국아이티컨설팅,0,0,0,0,0
한성정보기술,0,0,1,0,0
한국제이에스데이터시스템즈(주),0,0,1,0,0
해치랩스주식회사,0,0,0,0,0
호스트센터(주),0,0,0,0,0
호디,1,1,3,0,2
호두에이아이랩(주),0,0,0,0,0
후퍼(주),0,0,1,0,0
